phase,timestamp_iso,epoch_ms,orderId,intendedPrice,stopLoss,execPrice,theoretical_lots,theoretical_units,requestedVolume,filledSize,slippage,brokerMsg,client_order_id,side,action,type,status,reason,latency_ms,price_requested,price_filled,size_requested,size_filled,session,host,order_id,timestamp_request,timestamp_ack,timestamp_fill
REQUEST,2025-10-09T12:29:45.8171502Z,1760012985817,ORD-135,101.35,,,,,1,,,,ORD-135,Sell,SELL,Market,REQUEST,,,101.35,,1,,HARNESS,DESKTOP-584MV4B,ORD-135,2025-10-09T12:29:45.8171502Z,,
ACK,2025-10-09T12:29:45.8191862Z,1760012985819,ORD-135,101.35,,,,,1,,,,ORD-135,Sell,SELL,Market,ACK,,2,101.35,,1,,HARNESS,DESKTOP-584MV4B,ORD-135,2025-10-09T12:29:45.8171502Z,2025-10-09T12:29:45.8191862Z,
FILL,2025-10-09T12:29:45.8208366Z,1760012985820,ORD-135,101.35,,101.34949999999999,,,1,1,-0.0005000000000023874,filled,ORD-135,Sell,SELL,Market,FILL,filled,3,101.35,101.34949999999999,1,1,HARNESS,DESKTOP-584MV4B,ORD-135,2025-10-09T12:29:45.8171502Z,2025-10-09T12:29:45.8191862Z,2025-10-09T12:29:45.8208366Z
REQUEST,2025-10-09T12:29:46.0606956Z,1760012986060,ORD-150,101.5,101.45,,,,1,,,,ORD-150,Buy,BUY,Market,REQUEST,,,101.5,,1,,HARNESS,DESKTOP-584MV4B,ORD-150,2025-10-09T12:29:46.0606956Z,,
ACK,2025-10-09T12:29:46.0623860Z,1760012986062,ORD-150,101.5,101.45,,,,1,,,,ORD-150,Buy,BUY,Market,ACK,,2,101.5,,1,,HARNESS,DESKTOP-584MV4B,ORD-150,2025-10-09T12:29:46.0606956Z,2025-10-09T12:29:46.0623860Z,
FILL,2025-10-09T12:29:46.0640448Z,1760012986064,ORD-150,101.5,101.45,101.5005,,,1,1,0.0005000000000023874,filled,ORD-150,Buy,BUY,Market,FILL,filled,4,101.5,101.5005,1,1,HARNESS,DESKTOP-584MV4B,ORD-150,2025-10-09T12:29:46.0606956Z,2025-10-09T12:29:46.0623860Z,2025-10-09T12:29:46.0640448Z
REQUEST,2025-10-09T12:29:46.2822781Z,1760012986282,ORD-165,101.65,,,,,1,,,,ORD-165,Sell,SELL,Market,REQUEST,,,101.65,,1,,HARNESS,DESKTOP-584MV4B,ORD-165,2025-10-09T12:29:46.2822781Z,,
ACK,2025-10-09T12:29:46.2841478Z,1760012986284,ORD-165,101.65,,,,,1,,,,ORD-165,Sell,SELL,Market,ACK,,2,101.65,,1,,HARNESS,DESKTOP-584MV4B,ORD-165,2025-10-09T12:29:46.2822781Z,2025-10-09T12:29:46.2841478Z,
FILL,2025-10-09T12:29:46.2853316Z,1760012986285,ORD-165,101.65,,101.6495,,,1,1,-0.0005000000000023874,filled,ORD-165,Sell,SELL,Market,FILL,filled,3,101.65,101.6495,1,1,HARNESS,DESKTOP-584MV4B,ORD-165,2025-10-09T12:29:46.2822781Z,2025-10-09T12:29:46.2841478Z,2025-10-09T12:29:46.2853316Z
REQUEST,2025-10-09T12:29:46.5056543Z,1760012986505,ORD-180,101.8,101.75,,,,1,,,,ORD-180,Buy,BUY,Market,REQUEST,,,101.8,,1,,HARNESS,DESKTOP-584MV4B,ORD-180,2025-10-09T12:29:46.5056543Z,,
ACK,2025-10-09T12:29:46.5168822Z,1760012986516,ORD-180,101.8,101.75,,,,1,,,,ORD-180,Buy,BUY,Market,ACK,,11,101.8,,1,,HARNESS,DESKTOP-584MV4B,ORD-180,2025-10-09T12:29:46.5056543Z,2025-10-09T12:29:46.5168822Z,
FILL,2025-10-09T12:29:46.5184902Z,1760012986518,ORD-180,101.8,101.75,101.8005,,,1,1,0.0005000000000023874,filled,ORD-180,Buy,BUY,Market,FILL,filled,13,101.8,101.8005,1,1,HARNESS,DESKTOP-584MV4B,ORD-180,2025-10-09T12:29:46.5056543Z,2025-10-09T12:29:46.5168822Z,2025-10-09T12:29:46.5184902Z
REQUEST,2025-10-09T12:29:46.7490975Z,1760012986749,ORD-195,101.95,,,,,1,,,,ORD-195,Sell,SELL,Market,REQUEST,,,101.95,,1,,HARNESS,DESKTOP-584MV4B,ORD-195,2025-10-09T12:29:46.7490975Z,,
ACK,2025-10-09T12:29:46.7611289Z,1760012986761,ORD-195,101.95,,,,,1,,,,ORD-195,Sell,SELL,Market,ACK,,12,101.95,,1,,HARNESS,DESKTOP-584MV4B,ORD-195,2025-10-09T12:29:46.7490975Z,2025-10-09T12:29:46.7611289Z,
FILL,2025-10-09T12:29:46.7626696Z,1760012986762,ORD-195,101.95,,101.9495,,,1,1,-0.0005000000000023874,filled,ORD-195,Sell,SELL,Market,FILL,filled,13,101.95,101.9495,1,1,HARNESS,DESKTOP-584MV4B,ORD-195,2025-10-09T12:29:46.7490975Z,2025-10-09T12:29:46.7611289Z,2025-10-09T12:29:46.7626696Z
REQUEST,2025-10-09T12:29:46.9762381Z,1760012986976,ORD-210,102.1,102.05,,,,1,,,,ORD-210,Buy,BUY,Market,REQUEST,,,102.1,,1,,HARNESS,DESKTOP-584MV4B,ORD-210,2025-10-09T12:29:46.9762381Z,,
ACK,2025-10-09T12:29:46.9842811Z,1760012986984,ORD-210,102.1,102.05,,,,1,,,,ORD-210,Buy,BUY,Market,ACK,,8,102.1,,1,,HARNESS,DESKTOP-584MV4B,ORD-210,2025-10-09T12:29:46.9762381Z,2025-10-09T12:29:46.9842811Z,
FILL,2025-10-09T12:29:46.9859464Z,1760012986985,ORD-210,102.1,102.05,102.1005,,,1,1,0.0005000000000023874,filled,ORD-210,Buy,BUY,Market,FILL,filled,9,102.1,102.1005,1,1,HARNESS,DESKTOP-584MV4B,ORD-210,2025-10-09T12:29:46.9762381Z,2025-10-09T12:29:46.9842811Z,2025-10-09T12:29:46.9859464Z
REQUEST,2025-10-09T12:29:47.2146520Z,1760012987214,ORD-225,102.25,,,,,1,,,,ORD-225,Sell,SELL,Market,REQUEST,,,102.25,,1,,HARNESS,DESKTOP-584MV4B,ORD-225,2025-10-09T12:29:47.2146520Z,,
ACK,2025-10-09T12:29:47.2231407Z,1760012987223,ORD-225,102.25,,,,,1,,,,ORD-225,Sell,SELL,Market,ACK,,9,102.25,,1,,HARNESS,DESKTOP-584MV4B,ORD-225,2025-10-09T12:29:47.2146520Z,2025-10-09T12:29:47.2231407Z,
FILL,2025-10-09T12:29:47.2244326Z,1760012987224,ORD-225,102.25,,102.2495,,,1,1,-0.0005000000000023874,filled,ORD-225,Sell,SELL,Market,FILL,filled,10,102.25,102.2495,1,1,HARNESS,DESKTOP-584MV4B,ORD-225,2025-10-09T12:29:47.2146520Z,2025-10-09T12:29:47.2231407Z,2025-10-09T12:29:47.2244326Z
REQUEST,2025-10-09T12:29:47.4363091Z,1760012987436,ORD-240,102.4,102.35000000000001,,,,1,,,,ORD-240,Buy,BUY,Market,REQUEST,,,102.4,,1,,HARNESS,DESKTOP-584MV4B,ORD-240,2025-10-09T12:29:47.4363091Z,,
ACK,2025-10-09T12:29:47.4439356Z,1760012987443,ORD-240,102.4,102.35000000000001,,,,1,,,,ORD-240,Buy,BUY,Market,ACK,,7,102.4,,1,,HARNESS,DESKTOP-584MV4B,ORD-240,2025-10-09T12:29:47.4363091Z,2025-10-09T12:29:47.4439356Z,
FILL,2025-10-09T12:29:47.4451943Z,1760012987445,ORD-240,102.4,102.35000000000001,102.40050000000001,,,1,1,0.0005000000000023874,filled,ORD-240,Buy,BUY,Market,FILL,filled,9,102.4,102.40050000000001,1,1,HARNESS,DESKTOP-584MV4B,ORD-240,2025-10-09T12:29:47.4363091Z,2025-10-09T12:29:47.4439356Z,2025-10-09T12:29:47.4451943Z
REQUEST,2025-10-09T12:29:47.6590935Z,1760012987659,ORD-255,102.55,,,,,1,,,,ORD-255,Sell,SELL,Market,REQUEST,,,102.55,,1,,HARNESS,DESKTOP-584MV4B,ORD-255,2025-10-09T12:29:47.6590935Z,,
ACK,2025-10-09T12:29:47.6606929Z,1760012987660,ORD-255,102.55,,,,,1,,,,ORD-255,Sell,SELL,Market,ACK,,1,102.55,,1,,HARNESS,DESKTOP-584MV4B,ORD-255,2025-10-09T12:29:47.6590935Z,2025-10-09T12:29:47.6606929Z,
FILL,2025-10-09T12:29:47.6619571Z,1760012987661,ORD-255,102.55,,102.5495,,,1,1,-0.0005000000000023874,filled,ORD-255,Sell,SELL,Market,FILL,filled,2,102.55,102.5495,1,1,HARNESS,DESKTOP-584MV4B,ORD-255,2025-10-09T12:29:47.6590935Z,2025-10-09T12:29:47.6606929Z,2025-10-09T12:29:47.6619571Z
REQUEST,2025-10-09T12:29:47.8641262Z,1760012987864,ORD-270,102.7,102.65,,,,1,,,,ORD-270,Buy,BUY,Market,REQUEST,,,102.7,,1,,HARNESS,DESKTOP-584MV4B,ORD-270,2025-10-09T12:29:47.8641262Z,,
ACK,2025-10-09T12:29:47.8661442Z,1760012987866,ORD-270,102.7,102.65,,,,1,,,,ORD-270,Buy,BUY,Market,ACK,,2,102.7,,1,,HARNESS,DESKTOP-584MV4B,ORD-270,2025-10-09T12:29:47.8641262Z,2025-10-09T12:29:47.8661442Z,
FILL,2025-10-09T12:29:47.8678983Z,1760012987867,ORD-270,102.7,102.65,102.7005,,,1,1,0.0005000000000023874,filled,ORD-270,Buy,BUY,Market,FILL,filled,3,102.7,102.7005,1,1,HARNESS,DESKTOP-584MV4B,ORD-270,2025-10-09T12:29:47.8641262Z,2025-10-09T12:29:47.8661442Z,2025-10-09T12:29:47.8678983Z
REQUEST,2025-10-09T12:29:48.0792135Z,1760012988079,ORD-285,102.85,,,,,1,,,,ORD-285,Sell,SELL,Market,REQUEST,,,102.85,,1,,HARNESS,DESKTOP-584MV4B,ORD-285,2025-10-09T12:29:48.0792135Z,,
ACK,2025-10-09T12:29:48.0869589Z,1760012988086,ORD-285,102.85,,,,,1,,,,ORD-285,Sell,SELL,Market,ACK,,7,102.85,,1,,HARNESS,DESKTOP-584MV4B,ORD-285,2025-10-09T12:29:48.0792135Z,2025-10-09T12:29:48.0869589Z,
FILL,2025-10-09T12:29:48.0882922Z,1760012988088,ORD-285,102.85,,102.84949999999999,,,1,1,-0.0005000000000023874,filled,ORD-285,Sell,SELL,Market,FILL,filled,9,102.85,102.84949999999999,1,1,HARNESS,DESKTOP-584MV4B,ORD-285,2025-10-09T12:29:48.0792135Z,2025-10-09T12:29:48.0869589Z,2025-10-09T12:29:48.0882922Z
REQUEST,2025-10-09T12:29:48.3052065Z,1760012988305,ORD-300,103,102.95,,,,1,,,,ORD-300,Buy,BUY,Market,REQUEST,,,103,,1,,HARNESS,DESKTOP-584MV4B,ORD-300,2025-10-09T12:29:48.3052065Z,,
ACK,2025-10-09T12:29:48.3131445Z,1760012988313,ORD-300,103,102.95,,,,1,,,,ORD-300,Buy,BUY,Market,ACK,,8,103,,1,,HARNESS,DESKTOP-584MV4B,ORD-300,2025-10-09T12:29:48.3052065Z,2025-10-09T12:29:48.3131445Z,
FILL,2025-10-09T12:29:48.3147773Z,1760012988314,ORD-300,103,102.95,103.0005,,,1,1,0.0005000000000023874,filled,ORD-300,Buy,BUY,Market,FILL,filled,9,103,103.0005,1,1,HARNESS,DESKTOP-584MV4B,ORD-300,2025-10-09T12:29:48.3052065Z,2025-10-09T12:29:48.3131445Z,2025-10-09T12:29:48.3147773Z
REQUEST,2025-10-09T12:29:48.5166502Z,1760012988516,ORD-315,103.15,,,,,1,,,,ORD-315,Sell,SELL,Market,REQUEST,,,103.15,,1,,HARNESS,DESKTOP-584MV4B,ORD-315,2025-10-09T12:29:48.5166502Z,,
ACK,2025-10-09T12:29:48.5242270Z,1760012988524,ORD-315,103.15,,,,,1,,,,ORD-315,Sell,SELL,Market,ACK,,8,103.15,,1,,HARNESS,DESKTOP-584MV4B,ORD-315,2025-10-09T12:29:48.5166502Z,2025-10-09T12:29:48.5242270Z,
FILL,2025-10-09T12:29:48.5251847Z,1760012988525,ORD-315,103.15,,103.1495,,,1,1,-0.0005000000000023874,filled,ORD-315,Sell,SELL,Market,FILL,filled,9,103.15,103.1495,1,1,HARNESS,DESKTOP-584MV4B,ORD-315,2025-10-09T12:29:48.5166502Z,2025-10-09T12:29:48.5242270Z,2025-10-09T12:29:48.5251847Z
REQUEST,2025-10-09T12:29:48.7538502Z,1760012988753,ORD-330,103.3,103.25,,,,1,,,,ORD-330,Buy,BUY,Market,REQUEST,,,103.3,,1,,HARNESS,DESKTOP-584MV4B,ORD-330,2025-10-09T12:29:48.7538502Z,,
ACK,2025-10-09T12:29:48.7556348Z,1760012988755,ORD-330,103.3,103.25,,,,1,,,,ORD-330,Buy,BUY,Market,ACK,,2,103.3,,1,,HARNESS,DESKTOP-584MV4B,ORD-330,2025-10-09T12:29:48.7538502Z,2025-10-09T12:29:48.7556348Z,
FILL,2025-10-09T12:29:48.7569810Z,1760012988756,ORD-330,103.3,103.25,103.3005,,,1,1,0.0005000000000023874,filled,ORD-330,Buy,BUY,Market,FILL,filled,3,103.3,103.3005,1,1,HARNESS,DESKTOP-584MV4B,ORD-330,2025-10-09T12:29:48.7538502Z,2025-10-09T12:29:48.7556348Z,2025-10-09T12:29:48.7569810Z
REQUEST,2025-10-09T12:29:48.9770986Z,1760012988977,ORD-345,103.45,,,,,1,,,,ORD-345,Sell,SELL,Market,REQUEST,,,103.45,,1,,HARNESS,DESKTOP-584MV4B,ORD-345,2025-10-09T12:29:48.9770986Z,,
ACK,2025-10-09T12:29:48.9914882Z,1760012988991,ORD-345,103.45,,,,,1,,,,ORD-345,Sell,SELL,Market,ACK,,14,103.45,,1,,HARNESS,DESKTOP-584MV4B,ORD-345,2025-10-09T12:29:48.9770986Z,2025-10-09T12:29:48.9914882Z,
FILL,2025-10-09T12:29:48.9933928Z,1760012988993,ORD-345,103.45,,103.4495,,,1,1,-0.0005000000000023874,filled,ORD-345,Sell,SELL,Market,FILL,filled,16,103.45,103.4495,1,1,HARNESS,DESKTOP-584MV4B,ORD-345,2025-10-09T12:29:48.9770986Z,2025-10-09T12:29:48.9914882Z,2025-10-09T12:29:48.9933928Z
REQUEST,2025-10-09T12:29:49.2241516Z,1760012989224,ORD-360,103.6,103.55,,,,1,,,,ORD-360,Buy,BUY,Market,REQUEST,,,103.6,,1,,HARNESS,DESKTOP-584MV4B,ORD-360,2025-10-09T12:29:49.2241516Z,,
ACK,2025-10-09T12:29:49.2327363Z,1760012989232,ORD-360,103.6,103.55,,,,1,,,,ORD-360,Buy,BUY,Market,ACK,,8,103.6,,1,,HARNESS,DESKTOP-584MV4B,ORD-360,2025-10-09T12:29:49.2241516Z,2025-10-09T12:29:49.2327363Z,
FILL,2025-10-09T12:29:49.2342242Z,1760012989234,ORD-360,103.6,103.55,103.6005,,,1,1,0.0005000000000023874,filled,ORD-360,Buy,BUY,Market,FILL,filled,10,103.6,103.6005,1,1,HARNESS,DESKTOP-584MV4B,ORD-360,2025-10-09T12:29:49.2241516Z,2025-10-09T12:29:49.2327363Z,2025-10-09T12:29:49.2342242Z
REQUEST,2025-10-09T12:29:49.4487568Z,1760012989448,ORD-375,103.75,,,,,1,,,,ORD-375,Sell,SELL,Market,REQUEST,,,103.75,,1,,HARNESS,DESKTOP-584MV4B,ORD-375,2025-10-09T12:29:49.4487568Z,,
ACK,2025-10-09T12:29:49.4565420Z,1760012989456,ORD-375,103.75,,,,,1,,,,ORD-375,Sell,SELL,Market,ACK,,8,103.75,,1,,HARNESS,DESKTOP-584MV4B,ORD-375,2025-10-09T12:29:49.4487568Z,2025-10-09T12:29:49.4565420Z,
FILL,2025-10-09T12:29:49.4584164Z,1760012989458,ORD-375,103.75,,103.7495,,,1,1,-0.0005000000000023874,filled,ORD-375,Sell,SELL,Market,FILL,filled,10,103.75,103.7495,1,1,HARNESS,DESKTOP-584MV4B,ORD-375,2025-10-09T12:29:49.4487568Z,2025-10-09T12:29:49.4565420Z,2025-10-09T12:29:49.4584164Z
REQUEST,2025-10-09T12:29:49.6495937Z,1760012989649,ORD-390,103.9,103.85000000000001,,,,1,,,,ORD-390,Buy,BUY,Market,REQUEST,,,103.9,,1,,HARNESS,DESKTOP-584MV4B,ORD-390,2025-10-09T12:29:49.6495937Z,,
ACK,2025-10-09T12:29:49.6513478Z,1760012989651,ORD-390,103.9,103.85000000000001,,,,1,,,,ORD-390,Buy,BUY,Market,ACK,,2,103.9,,1,,HARNESS,DESKTOP-584MV4B,ORD-390,2025-10-09T12:29:49.6495937Z,2025-10-09T12:29:49.6513478Z,
FILL,2025-10-09T12:29:49.6527409Z,1760012989652,ORD-390,103.9,103.85000000000001,103.90050000000001,,,1,1,0.0005000000000023874,filled,ORD-390,Buy,BUY,Market,FILL,filled,3,103.9,103.90050000000001,1,1,HARNESS,DESKTOP-584MV4B,ORD-390,2025-10-09T12:29:49.6495937Z,2025-10-09T12:29:49.6513478Z,2025-10-09T12:29:49.6527409Z
REQUEST,2025-10-09T12:29:49.8782029Z,1760012989878,ORD-405,104.05,,,,,1,,,,ORD-405,Sell,SELL,Market,REQUEST,,,104.05,,1,,HARNESS,DESKTOP-584MV4B,ORD-405,2025-10-09T12:29:49.8782029Z,,
ACK,2025-10-09T12:29:49.8803944Z,1760012989880,ORD-405,104.05,,,,,1,,,,ORD-405,Sell,SELL,Market,ACK,,2,104.05,,1,,HARNESS,DESKTOP-584MV4B,ORD-405,2025-10-09T12:29:49.8782029Z,2025-10-09T12:29:49.8803944Z,
FILL,2025-10-09T12:29:49.8819837Z,1760012989881,ORD-405,104.05,,104.0495,,,1,1,-0.0005000000000023874,filled,ORD-405,Sell,SELL,Market,FILL,filled,3,104.05,104.0495,1,1,HARNESS,DESKTOP-584MV4B,ORD-405,2025-10-09T12:29:49.8782029Z,2025-10-09T12:29:49.8803944Z,2025-10-09T12:29:49.8819837Z
REQUEST,2025-10-09T12:29:50.1010032Z,1760012990101,ORD-420,104.2,104.15,,,,1,,,,ORD-420,Buy,BUY,Market,REQUEST,,,104.2,,1,,HARNESS,DESKTOP-584MV4B,ORD-420,2025-10-09T12:29:50.1010032Z,,
ACK,2025-10-09T12:29:50.1094921Z,1760012990109,ORD-420,104.2,104.15,,,,1,,,,ORD-420,Buy,BUY,Market,ACK,,8,104.2,,1,,HARNESS,DESKTOP-584MV4B,ORD-420,2025-10-09T12:29:50.1010032Z,2025-10-09T12:29:50.1094921Z,
FILL,2025-10-09T12:29:50.1111548Z,1760012990111,ORD-420,104.2,104.15,104.2005,,,1,1,0.0005000000000023874,filled,ORD-420,Buy,BUY,Market,FILL,filled,10,104.2,104.2005,1,1,HARNESS,DESKTOP-584MV4B,ORD-420,2025-10-09T12:29:50.1010032Z,2025-10-09T12:29:50.1094921Z,2025-10-09T12:29:50.1111548Z
REQUEST,2025-10-09T12:29:50.3444625Z,1760012990344,ORD-435,104.35,,,,,1,,,,ORD-435,Sell,SELL,Market,REQUEST,,,104.35,,1,,HARNESS,DESKTOP-584MV4B,ORD-435,2025-10-09T12:29:50.3444625Z,,
